design,workload,B,ctx,step_ms,tps_user,aggregate_tps,dram_util,mat_util,noc_util,fits,method
pulp_default_S,v4flash_kvfrac0.25,4,131072,70.8659,14.0,56.0,0.073,0.356,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,1,8192,4.6272,216.0,216.0,0.592,0.091,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,1,32768,4.8472,206.0,206.0,0.565,0.094,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,1,131072,5.7269,175.0,175.0,0.48,0.103,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,2,8192,6.049,165.0,331.0,0.589,0.138,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,2,32768,6.4889,154.0,308.0,0.55,0.14,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,2,131072,8.2483,121.0,242.0,0.435,0.143,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,4,8192,8.7995,114.0,455.0,0.585,0.19,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,4,32768,9.6792,103.0,413.0,0.533,0.187,,False,analytical
pulp_scaled_S,v4flash_kvfrac0.25,4,131072,13.198,76.0,303.0,0.394,0.179,,False,analytical
tensix_S,v4flash_kvfrac0.25,1,8192,3.528,283.0,283.0,0.776,0.03,,False,analytical
tensix_S,v4flash_kvfrac0.25,1,32768,3.5559,281.0,281.0,0.771,0.032,,False,analytical
tensix_S,v4flash_kvfrac0.25,1,131072,3.6678,273.0,273.0,0.75,0.04,,False,analytical
tensix_S,v4flash_kvfrac0.25,2,8192,4.5677,219.0,438.0,0.78,0.046,,False,analytical
tensix_S,v4flash_kvfrac0.25,2,32768,4.6237,216.0,433.0,0.771,0.049,,False,analytical
tensix_S,v4flash_kvfrac0.25,2,131072,4.8474,206.0,413.0,0.74,0.061,,False,analytical
tensix_S,v4flash_kvfrac0.25,4,8192,6.5756,152.0,608.0,0.784,0.064,,False,analytical
tensix_S,v4flash_kvfrac0.25,4,32768,6.6875,150.0,598.0,0.772,0.068,,False,analytical
tensix_S,v4flash_kvfrac0.25,4,131072,7.1349,140.0,561.0,0.728,0.083,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,1,8192,3.5423,282.0,282.0,0.387,0.631,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,1,32768,4.7152,212.0,212.0,0.291,0.513,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,1,131072,9.407,106.0,106.0,0.146,0.335,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,2,8192,6.4092,156.0,312.0,0.278,0.697,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,2,32768,8.7551,114.0,228.0,0.204,0.552,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,2,131072,18.1385,55.0,110.0,0.099,0.348,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,4,8192,12.0022,83.0,333.0,0.215,0.744,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,4,32768,16.6939,60.0,240.0,0.155,0.579,,False,analytical
pulp_default_M,v4flash_kvfrac0.25,4,131072,35.4608,28.0,113.0,0.073,0.356,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,1,8192,1.9064,525.0,525.0,0.718,0.11,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,1,32768,2.0164,496.0,496.0,0.68,0.112,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,1,131072,2.4562,407.0,407.0,0.56,0.12,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,2,8192,2.4802,403.0,806.0,0.718,0.169,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,2,32768,2.7002,370.0,741.0,0.66,0.168,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,2,131072,3.5798,279.0,559.0,0.501,0.165,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,4,8192,3.5909,278.0,1114.0,0.717,0.233,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,4,32768,4.0307,248.0,992.0,0.64,0.225,,False,analytical
pulp_scaled_M,v4flash_kvfrac0.25,4,131072,5.7901,173.0,691.0,0.449,0.204,,False,analytical
tensix_M,v4flash_kvfrac0.25,1,8192,1.813,552.0,552.0,0.755,0.029,,False,analytical
tensix_M,v4flash_kvfrac0.25,1,32768,1.827,547.0,547.0,0.75,0.031,,False,analytical
tensix_M,v4flash_kvfrac0.25,1,131072,1.8829,531.0,531.0,0.73,0.039,,False,analytical
tensix_M,v4flash_kvfrac0.25,2,8192,2.3329,429.0,857.0,0.763,0.045,,False,analytical
tensix_M,v4flash_kvfrac0.25,2,32768,2.3608,424.0,847.0,0.755,0.048,,False,analytical
tensix_M,v4flash_kvfrac0.25,2,131072,2.4727,404.0,809.0,0.725,0.06,,False,analytical
tensix_M,v4flash_kvfrac0.25,4,8192,3.3368,300.0,1199.0,0.772,0.063,,False,analytical
tensix_M,v4flash_kvfrac0.25,4,32768,3.3927,295.0,1179.0,0.761,0.067,,False,analytical
